bs,gpus,mp,ep,iter4_total_time,iter4_instances,iter4_avg,iter4_med,iter4_min_ns,iter4_max_ns,iter4_stddev,iter5_total_time,iter5_instances,iter5_avg,iter5_med,iter5_min_ns,iter5_max_ns,iter5_stddev,iter6_total_time,iter6_instances,iter6_avg,iter6_med,iter6_min_ns,iter6_max_ns,iter6_stddev,iter7_total_time,iter7_instances,iter7_avg,iter7_med,iter7_min_ns,iter7_max_ns,iter7_stddev,iter8_total_time,iter8_instances,iter8_avg,iter8_med,iter8_min_ns,iter8_max_ns,iter8_stddev,nccl_total_time,nccl_instances,nccl_avg,nccl_med,nccl_min_ns,nccl_max_ns,nccl_stddev,iter_all_avg
4.0,1.0,1.0,1.0,756378605.0,1.0,756378605.0,756378605.0,756378605.0,756378605.0,0.0,762289685.0,1.0,762289685.0,762289685.0,762289685.0,762289685.0,0.0,754811744.0,1.0,754811744.0,754811744.0,754811744.0,754811744.0,0.0,775124142.0,1.0,775124142.0,775124142.0,775124142.0,775124142.0,0.0,755431568.0,1.0,755431568.0,755431568.0,755431568.0,755431568.0,0.0,,,,,,,,760807148.8
4.0,2.0,1.0,2.0,1891661382.0,2.0,945830691.0,945830691.0,945806972.0,945854410.0,33543.7,1854054768.0,2.0,927027384.0,927027384.0,926997280.0,927057488.0,42573.5,1883268543.0,2.0,941634271.5,941634271.5,941588974.0,941679569.0,64060.3,1893840215.0,2.0,946920107.5,946920107.5,946881407.0,946958808.0,54730.8,1915379307.0,2.0,957689653.5,957689653.5,957685348.0,957693959.0,6088.9,267462623.0,320.0,835820.7,277857.0,215713.0,33056293.0,2519355.2,943820421.5
16.0,1.0,1.0,1.0,3104842488.0,1.0,3104842488.0,3104842488.0,3104842488.0,3104842488.0,0.0,3089884334.0,1.0,3089884334.0,3089884334.0,3089884334.0,3089884334.0,0.0,3101870812.0,1.0,3101870812.0,3101870812.0,3101870812.0,3101870812.0,0.0,3132221109.0,1.0,3132221109.0,3132221109.0,3132221109.0,3132221109.0,0.0,3107948099.0,1.0,3107948099.0,3107948099.0,3107948099.0,3107948099.0,0.0,,,,,,,,3107353368.4
16.0,1.0,1.0,2.0,4848266047.0,1.0,4848266047.0,4848266047.0,4848266047.0,4848266047.0,0.0,4853116850.0,1.0,4853116850.0,4853116850.0,4853116850.0,4853116850.0,0.0,4867024680.0,1.0,4867024680.0,4867024680.0,4867024680.0,4867024680.0,0.0,4862502203.0,1.0,4862502203.0,4862502203.0,4862502203.0,4862502203.0,0.0,4869892662.0,1.0,4869892662.0,4869892662.0,4869892662.0,4869892662.0,0.0,61621905.0,160.0,385136.9,383490.0,371362.0,404706.0,9789.6,4860160488.4
16.0,1.0,1.0,4.0,4801396789.0,1.0,4801396789.0,4801396789.0,4801396789.0,4801396789.0,0.0,4791683062.0,1.0,4791683062.0,4791683062.0,4791683062.0,4791683062.0,0.0,4798558647.0,1.0,4798558647.0,4798558647.0,4798558647.0,4798558647.0,0.0,4801342339.0,1.0,4801342339.0,4801342339.0,4801342339.0,4801342339.0,0.0,4822748891.0,1.0,4822748891.0,4822748891.0,4822748891.0,4822748891.0,0.0,61505220.0,160.0,384407.6,382642.5,371618.0,404802.0,8788.7,4803145945.6
16.0,1.0,1.0,8.0,4723303894.0,1.0,4723303894.0,4723303894.0,4723303894.0,4723303894.0,0.0,4763152787.0,1.0,4763152787.0,4763152787.0,4763152787.0,4763152787.0,0.0,4726242802.0,1.0,4726242802.0,4726242802.0,4726242802.0,4726242802.0,0.0,4737588186.0,1.0,4737588186.0,4737588186.0,4737588186.0,4737588186.0,0.0,4753381727.0,1.0,4753381727.0,4753381727.0,4753381727.0,4753381727.0,0.0,60907836.0,160.0,380674.0,379617.5,371073.0,397474.0,5450.6,4740733879.2
16.0,2.0,1.0,1.0,6321091926.0,2.0,3160545963.0,3160545963.0,3160499516.0,3160592410.0,65686.0,6366273507.0,2.0,3183136753.5,3183136753.5,3183117617.0,3183155890.0,27063.1,6303119240.0,2.0,3151559620.0,3151559620.0,3151552314.0,3151566926.0,10332.2,6374923280.0,2.0,3187461640.0,3187461640.0,3187432011.0,3187491269.0,41901.7,6605238763.0,2.0,3302619381.5,3302619381.5,3302609067.0,3302629696.0,14586.9,,,,,,,,3197064671.6
16.0,2.0,1.0,16.0,9616133636.0,2.0,4808066818.0,4808066818.0,4803179370.0,4812954266.0,6911895.2,9626745637.0,2.0,4813372818.5,4813372818.5,4813368331.0,4813377306.0,6346.3,9556758448.0,2.0,4778379224.0,4778379224.0,4778292486.0,4778465962.0,122666.1,9622237001.0,2.0,4811118500.5,4811118500.5,4811044990.0,4811192011.0,103959.5,9716916379.0,2.0,4858458189.5,4858458189.5,4858417286.0,4858499093.0,57846.3,716148518.0,320.0,2237964.1,874599.5,785415.0,46105766.0,3648199.5,4813879110.1
16.0,2.0,1.0,2.0,9971477100.0,2.0,4985738550.0,4985738550.0,4984722865.0,4986754235.0,1436395.5,9940654624.0,2.0,4970327312.0,4970327312.0,4970313847.0,4970340777.0,19042.4,9939867496.0,2.0,4969933748.0,4969933748.0,4969921058.0,4969946438.0,17946.4,9918722201.0,2.0,4959361100.5,4959361100.5,4959344688.0,4959377513.0,23210.8,9971482945.0,2.0,4985741472.5,4985741472.5,4985729929.0,4985753016.0,16325.0,921108404.0,320.0,2878463.8,971349.0,766439.0,73542038.0,5358567.5,4974220436.6
16.0,2.0,1.0,4.0,9804423763.0,2.0,4902211881.5,4902211881.5,4902189017.0,4902234746.0,32335.3,9811205604.0,2.0,4905602802.0,4905602802.0,4905572003.0,4905633601.0,43556.4,9829361434.0,2.0,4914680717.0,4914680717.0,4914672002.0,4914689432.0,12324.9,9807161203.0,2.0,4903580601.5,4903580601.5,4903529660.0,4903631543.0,72042.2,9790997255.0,2.0,4895498627.5,4895498627.5,4895467641.0,4895529614.0,43821.5,787112365.0,320.0,2459726.1,921013.5,768774.0,23077839.0,2758019.0,4904314925.9
16.0,2.0,1.0,8.0,9661385705.0,2.0,4830692852.5,4830692852.5,4830469191.0,4830916514.0,316305.1,9703790887.0,2.0,4851895443.5,4851895443.5,4851815811.0,4851975076.0,112617.4,9643849461.0,2.0,4821924730.5,4821924730.5,4821831643.0,4822017818.0,131645.6,9659678547.0,2.0,4829839273.5,4829839273.5,4829734025.0,4829944522.0,148843.9,9744183201.0,2.0,4872091600.5,4872091600.5,4871907819.0,4872275382.0,259906.3,636909532.0,320.0,1990342.3,889334.0,774820.0,26442794.0,2702948.9,4841288780.1
4.0,1.0,1.0,2.0,891563159.0,1.0,891563159.0,891563159.0,891563159.0,891563159.0,0.0,892766076.0,1.0,892766076.0,892766076.0,892766076.0,892766076.0,0.0,891516396.0,1.0,891516396.0,891516396.0,891516396.0,891516396.0,0.0,889590170.0,1.0,889590170.0,889590170.0,889590170.0,889590170.0,0.0,882410125.0,1.0,882410125.0,882410125.0,882410125.0,882410125.0,0.0,16569736.0,160.0,103560.9,103360.0,99872.0,107392.0,1426.8,889569185.2
4.0,1.0,1.0,4.0,909717234.0,1.0,909717234.0,909717234.0,909717234.0,909717234.0,0.0,901708021.0,1.0,901708021.0,901708021.0,901708021.0,901708021.0,0.0,898909373.0,1.0,898909373.0,898909373.0,898909373.0,898909373.0,0.0,891316997.0,1.0,891316997.0,891316997.0,891316997.0,891316997.0,0.0,900503347.0,1.0,900503347.0,900503347.0,900503347.0,900503347.0,0.0,16640784.0,160.0,104004.9,103968.0,98304.0,107489.0,1440.7,900430994.4
4.0,1.0,1.0,8.0,900157124.0,1.0,900157124.0,900157124.0,900157124.0,900157124.0,0.0,895652522.0,1.0,895652522.0,895652522.0,895652522.0,895652522.0,0.0,895176156.0,1.0,895176156.0,895176156.0,895176156.0,895176156.0,0.0,889699554.0,1.0,889699554.0,889699554.0,889699554.0,889699554.0,0.0,880089393.0,1.0,880089393.0,880089393.0,880089393.0,880089393.0,0.0,16559004.0,160.0,103493.8,103632.0,99328.0,107008.0,1394.4,892154949.8
4.0,2.0,1.0,1.0,1564584363.0,2.0,782292181.5,782292181.5,782042668.0,782541695.0,352865.4,1554798998.0,2.0,777399499.0,777399499.0,777365303.0,777433695.0,48360.4,1609311286.0,2.0,804655643.0,804655643.0,804641381.0,804669905.0,20169.5,1608318509.0,2.0,804159254.5,804159254.5,804119416.0,804199093.0,56340.1,1630237379.0,2.0,815118689.5,815118689.5,815100577.0,815136802.0,25614.9,,,,,,,,796725053.5
4.0,2.0,1.0,16.0,1873413141.0,2.0,936706570.5,936706570.5,936538452.0,936874689.0,237755.5,1924993326.0,2.0,962496663.0,962496663.0,962438627.0,962554699.0,82075.3,1909664888.0,2.0,954832444.0,954832444.0,954825020.0,954839868.0,10499.1,1865199138.0,2.0,932599569.0,932599569.0,932593461.0,932605677.0,8638.0,1894440564.0,2.0,947220282.0,947220282.0,947190822.0,947249742.0,41662.7,222885300.0,320.0,696516.6,261393.0,203329.0,23663982.0,1791330.6,946771105.7
4.0,2.0,1.0,4.0,1873882915.0,2.0,936941457.5,936941457.5,933965695.0,939917220.0,4208363.7,1922482651.0,2.0,961241325.5,961241325.5,961224998.0,961257653.0,23090.6,1875786296.0,2.0,937893148.0,937893148.0,937823452.0,937962844.0,98565.0,1862803799.0,2.0,931401899.5,931401899.5,931392962.0,931410837.0,12639.5,1859662376.0,2.0,929831188.0,929831188.0,929828076.0,929834300.0,4401.0,319064377.0,320.0,997076.2,275857.5,214305.0,46928056.0,3572952.9,939461803.7
4.0,2.0,1.0,8.0,1864468045.0,2.0,932234022.5,932234022.5,932006034.0,932462011.0,322424.4,1867587188.0,2.0,933793594.0,933793594.0,933784287.0,933802901.0,13162.1,1873043947.0,2.0,936521973.5,936521973.5,936426453.0,936617494.0,135086.4,1874180640.0,2.0,937090320.0,937090320.0,936997351.0,937183289.0,131478.0,1852010279.0,2.0,926005139.5,926005139.5,925938956.0,926071323.0,93597.6,258241129.0,320.0,807003.5,266370.0,193794.0,31409532.0,2788752.8,933129009.9
8.0,1.0,1.0,1.0,1517274271.0,1.0,1517274271.0,1517274271.0,1517274271.0,1517274271.0,0.0,1504695342.0,1.0,1504695342.0,1504695342.0,1504695342.0,1504695342.0,0.0,1527384625.0,1.0,1527384625.0,1527384625.0,1527384625.0,1527384625.0,0.0,1509853299.0,1.0,1509853299.0,1509853299.0,1509853299.0,1509853299.0,0.0,1511797297.0,1.0,1511797297.0,1511797297.0,1511797297.0,1511797297.0,0.0,,,,,,,,1514200966.8
8.0,1.0,1.0,2.0,1988653026.0,1.0,1988653026.0,1988653026.0,1988653026.0,1988653026.0,0.0,1966938373.0,1.0,1966938373.0,1966938373.0,1966938373.0,1966938373.0,0.0,1968150043.0,1.0,1968150043.0,1968150043.0,1968150043.0,1968150043.0,0.0,1982277864.0,1.0,1982277864.0,1982277864.0,1982277864.0,1982277864.0,0.0,1972038765.0,1.0,1972038765.0,1972038765.0,1972038765.0,1972038765.0,0.0,31824614.0,160.0,198903.8,198497.0,193088.0,205537.0,2638.3,1975611614.2
8.0,1.0,1.0,4.0,1958478939.0,1.0,1958478939.0,1958478939.0,1958478939.0,1958478939.0,0.0,1959013012.0,1.0,1959013012.0,1959013012.0,1959013012.0,1959013012.0,0.0,1948026922.0,1.0,1948026922.0,1948026922.0,1948026922.0,1948026922.0,0.0,1962638850.0,1.0,1962638850.0,1962638850.0,1962638850.0,1962638850.0,0.0,1971203004.0,1.0,1971203004.0,1971203004.0,1971203004.0,1971203004.0,0.0,31775626.0,160.0,198597.7,198017.5,192417.0,207297.0,3203.1,1959872145.4
8.0,1.0,1.0,8.0,1960267903.0,1.0,1960267903.0,1960267903.0,1960267903.0,1960267903.0,0.0,1953502297.0,1.0,1953502297.0,1953502297.0,1953502297.0,1953502297.0,0.0,1955371426.0,1.0,1955371426.0,1955371426.0,1955371426.0,1955371426.0,0.0,1950779916.0,1.0,1950779916.0,1950779916.0,1950779916.0,1950779916.0,0.0,1950782194.0,1.0,1950782194.0,1950782194.0,1950782194.0,1950782194.0,0.0,31715248.0,160.0,198220.3,197745.0,191265.0,206592.0,3021.0,1954140747.2
8.0,2.0,1.0,1.0,3096954588.0,2.0,1548477294.0,1548477294.0,1547708226.0,1549246362.0,1087626.4,3033512220.0,2.0,1516756110.0,1516756110.0,1516720450.0,1516791770.0,50430.9,3064389127.0,2.0,1532194563.5,1532194563.5,1532164496.0,1532224631.0,42521.9,3066608781.0,2.0,1533304390.5,1533304390.5,1533302135.0,1533306646.0,3189.8,3048989793.0,2.0,1524494896.5,1524494896.5,1524464099.0,1524525694.0,43554.2,,,,,,,,1531045450.9
8.0,2.0,1.0,16.0,3980134736.0,2.0,1990067368.0,1990067368.0,1989518697.0,1990616039.0,775938.0,3954633839.0,2.0,1977316919.5,1977316919.5,1977138958.0,1977494881.0,251675.6,3971089181.0,2.0,1985544590.5,1985544590.5,1985538505.0,1985550676.0,8606.2,3966388182.0,2.0,1983194091.0,1983194091.0,1983155535.0,1983232647.0,54526.4,3963705576.0,2.0,1981852788.0,1981852788.0,1981823060.0,1981882516.0,42041.7,313643167.0,320.0,980134.9,475028.0,413283.0,17870248.0,1896503.9,1983595151.4
8.0,2.0,1.0,2.0,4061178671.0,2.0,2030589335.5,2030589335.5,2030240549.0,2030938122.0,493258.6,4084555779.0,2.0,2042277889.5,2042277889.5,2042202869.0,2042352910.0,106095.0,4043584475.0,2.0,2021792237.5,2021792237.5,2021757555.0,2021826920.0,49048.5,4050037925.0,2.0,2025018962.5,2025018962.5,2024975882.0,2025062043.0,60925.0,4042204418.0,2.0,2021102209.0,2021102209.0,2021056906.0,2021147512.0,64068.1,408608774.0,320.0,1276902.4,477939.0,409218.0,22657183.0,2589468.8,2028156126.8
8.0,2.0,1.0,4.0,4048803897.0,2.0,2024401948.5,2024401948.5,2024387120.0,2024416777.0,20970.7,4036699508.0,2.0,2018349754.0,2018349754.0,2018296237.0,2018403271.0,75684.5,4017088959.0,2.0,2008544479.5,2008544479.5,2008497125.0,2008591834.0,66969.4,4103184637.0,2.0,2051592318.5,2051592318.5,2051583367.0,2051601270.0,12659.3,4022619059.0,2.0,2011309529.5,2011309529.5,2011216348.0,2011402711.0,131778.5,414561846.0,320.0,1295505.8,472435.0,404258.0,19186485.0,2178525.3,2022839606.0
8.0,2.0,1.0,8.0,3999028783.0,2.0,1999514391.5,1999514391.5,1999505803.0,1999522980.0,12146.0,4012402744.0,2.0,2006201372.0,2006201372.0,2006153000.0,2006249744.0,68408.3,4007629307.0,2.0,2003814653.5,2003814653.5,2003806808.0,2003822499.0,11095.2,4005662702.0,2.0,2002831351.0,2002831351.0,2002813963.0,2002848739.0,24590.3,4000025597.0,2.0,2000012798.5,2000012798.5,2000005039.0,2000020558.0,10973.6,323390651.0,320.0,1010595.8,477251.5,393634.0,21771673.0,1975038.6,2002474913.3
